,Unnamed: 0,req1,req1_id,req2,req2_id,similarity,cosine,BinaryClass,MultiClass,Id
9999,9999,the current operational status shall be indicated to the driver on the dmi,PURE_B001,the dmi shall indicate the result of the self-test,PURE_B004,9999,9999,1,9999,9999
9999,9999,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,PURE_B002,the etcs trainborne equipment shall transmit its own train identification to the rbc,PURE_B029,9999,9999,0,9999,9999
9999,9999,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_B068,9999,9999,0,9999,9999
9999,9999,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_B055,9999,9999,0,9999,9999
9999,9999,the dmi shall indicate the result of the self-test,PURE_B004,operation of the train trip shall be indicated on the dmi,PURE_B099,9999,9999,1,9999,9999
9999,9999,when the train passes the stop signal the train trip function shall be suppressed,PURE_B005,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,PURE_B083,9999,9999,0,9999,9999
9999,9999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_B006,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_B008,9999,9999,0,9999,9999
9999,9999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_B007,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_B055,9999,9999,0,9999,9999
9999,9999,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_B008,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_B055,9999,9999,0,9999,9999
9999,9999,the entry of driver identification and the selection of the language shall be possible,PURE_B009,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,PURE_B003,9999,9999,0,9999,9999
