,Unnamed: 0,Unnamed: 0.1,req1,req1_id,req2,req2_id,similarity,cosine,BinaryClass,MultiClass,Id
99999,99999,99999,the current operational status shall be indicated to the driver on the dmi,PURE_M001,the dmi shall indicate the result of the self-test,PURE_M002,99999,99999,99999,4,99999
99999,99999,99999,the dmi shall indicate the result of the self-test,PURE_M002,operation of the train trip shall be indicated on the dmi,PURE_M016,99999,99999,99999,4,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_M005,99999,99999,99999,0,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_M042,99999,99999,99999,0,99999
99999,99999,99999,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,PURE_M005,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_M042,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to select train data entry on the dmi,PURE_M006,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_M008,99999,99999,99999,0,99999
99999,99999,99999,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_M007,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,PURE_M040,99999,99999,99999,0,99999
99999,99999,99999,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,PURE_M008,the driver shall be able to use the reversing function without needing to re-confirm the train data,PURE_M042,99999,99999,99999,0,99999
99999,99999,99999," it shall be possible to apply the train trip function if the shunting movement passes a signal showing ""danger for shunting",PURE_M009,when the train passes the stop signal the train trip function shall be suppressed,PURE_M031,99999,99999,99999,0,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,99999,99999,99999,0,99999
99999,99999,99999,the roll away/reverse movement intervention shall be indicated on the dmi,PURE_M010,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,PURE_M058,99999,99999,99999,4,99999
99999,99999,99999,the etcs on-board shall be capable of receiving national values from the trackside to adapt to national requirements,PURE_M011,the etcs on-board shall be capable of receiving information about pantograph and power supply from the trackside,PURE_M073,99999,99999,99999,3,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,PURE_M007,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to consult train data when the train is stationary or moving,PURE_M012,when the train passes the stop signal the train trip function shall be suppressed,PURE_M031,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to release an etcs emergency brake application when stationary,PURE_M013,the driver shall be able to override the function when the train is stationary,PURE_M051,99999,99999,99999,0,99999
99999,99999,99999,the driver shall be able to select train data entry on the dmi,PURE_M006,the release speed shall be indicated on the dmi,PURE_M024,99999,99999,99999,4,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999," when the train is stationary or after a certain time (eg the time for ""route releasing"" of the overlap the release speed calculation shall be based on the distance to the danger point (if calculated on-board) the condition for this change shall be defined for each target as infrastructure data",PURE_M179,after the acknowledgement the driver shall be able to continue the movement,PURE_M094,99999,99999,99999,0,99999
99999,99999,99999,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,PURE_M004,when the train passes the stop signal the train trip function shall be suppressed,PURE_M031,99999,99999,99999,0,99999
99999,99999,99999,a special indication shall be shown on the dmi,PURE_M015,route unsuitability shall be indicated on the dmi,PURE_M022,99999,99999,99999,4,99999
99999,99999,99999,operation of the train trip shall be indicated on the dmi,PURE_M016,when the plain text message appears on the dmi the driver shall be alerted,PURE_M059,99999,99999,99999,4,99999
99999,99999,99999,the etcs trainborne equipment shall transmit its own train identification to the rbc,PURE_M017,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,PURE_M033,99999,99999,99999,0,99999
99999,99999,99999,the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,PURE_M003,the test shall require no action on the part of the driver,PURE_M030,99999,99999,99999,0,99999
99999,99999,99999,the current application level shall be indicated on the dmi,PURE_M018,a special indication shall be shown on the dmi,PURE_M015,99999,99999,99999,4,99999
